region	sub-table	lower_frequency	upper_frequency	category	service	footnotes
gb		6525000	6685000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.6, EU1
gb		6685000	6765000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		6765000	7000000	p	Fixed	5.138, 5.138A, UK11, UK2, UK6, EU1
gb		6765000	7000000	p	Mobile except aeronautical mobile (R)	5.138, 5.138A, UK11, UK2, UK6, EU1
gb		7000000	7100000	p	Amateur	5.120, UK1, UK11, UK7, EU1
gb		7000000	7100000	p	Amateur-Satellite	UK1, UK11, UK7, EU1
gb		7100000	7200000	p	Amateur	5.141C, UK1, UK11, UK12, UK7, EU1
gb		7100000	7200000	p	Broadcasting	5.141C, UK1, UK11, UK12
gb		7200000	7300000	p	Broadcasting	UK1, UK11, EU1
gb		7300000	7350000	p	Broadcasting	5.134, 5.143, 5.143B, UK1, UK11, EU1
gb		7350000	7450000	p	Broadcasting	5.143B, UK1, UK11, EU1
gb		7350000	7450000	p	Fixed	5.143B, UK1, UK11, EU1
gb		7350000	7450000	s	Land Mobile	5.143B, UK1, UK11, EU1, UK5.11
gb		7450000	8100000	p	Fixed	UK11, UK2, UK25, EU1
gb		7450000	8100000	s	Land Mobile	UK11, UK2, UK25, EU1
gb		8100000	8195000	p	Fixed	UK11, UK2, EU1
gb		8100000	8195000	p	Maritime Mobile	UK11, UK185, UK2, EU1
gb		8195000	8815000	p	Maritime Mobile	5.109, 5.110, 5.111, 5.132, 5.145, UK11, UK12, UK185, UK2, EU1
gb		8815000	8965000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.7, EU1
gb		8965000	9040000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		9040000	9305000	p	Fixed	UK11, UK2, EU1
gb		9305000	9335000	p	Fixed	UK11, UK2, EU1
gb		9305000	9335000	s	Radiolocation	UK11, UK2, EU1
gb		9335000	9400000	p	Fixed	UK11, UK2, EU1
gb		9400000	9500000	p	Broadcasting	5.134, 5.146, UK1, UK11, EU1
gb		9500000	9900000	p	Broadcasting	5.147, UK1, UK11, EU1
gb		9900000	9995000	p	Fixed	UK11, UK2, UK25, EU1
gb		9995000	10003000	p	Standard Frequency and Time Signal	5.111, UK1, UK11, UK12, UK9, EU1
gb		10003000	10005000	p	Standard Frequency and Time Signal	5.111, UK1, UK11, UK12, EU1
gb		10003000	10005000	s	Space Research	5.111, UK1, UK11, UK12, EU1
gb		10005000	10100000	p	Aeronautical Mobile (R)	5.111, UK1, UK11, UK9, UK4.8, EU1
gb		10100000	10150000	p	Fixed	UK11, UK12, UK2, EU1
gb		10100000	10150000	s	Amateur	5.120, UK11, UK12, UK2, UK7, EU1, UK5.12
gb		10150000	11175000	p	Fixed	UK11, UK2, EU1
gb		10150000	11175000	s	Mobile except aeronautical mobile (R)	UK11, UK2, EU1
gb		11175000	11275000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		11275000	11400000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.9, EU1
gb		11400000	11600000	p	Fixed	UK11, UK2, EU1
gb		11600000	11650000	p	Broadcasting	5.134, 5.146, UK1, UK11, EU1
gb		11650000	12050000	p	Broadcasting	5.147, UK1, UK11, EU1
gb		12050000	12230000	p	Broadcasting	5.146, UK1, UK11, EU1
gb		12230000	13200000	p	Maritime Mobile	5.109, 5.110, 5.132, 5.145, UK11, UK12, UK185, UK2, EU1
gb		13200000	13260000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		13260000	13360000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.10, EU1
gb		13360000	13410000	p	Fixed	5.149, UK10, UK11, UK2, EU1
gb		13360000	13410000	p	Radio Astronomy	5.149, UK10, UK12, UK2, EU1
gb		13410000	13450000	p	Fixed	UK11, UK2, UK6, EU1
gb		13410000	13450000	s	Mobile except aeronautical mobile (R)	UK11, UK2, UK6, EU1
gb		13450000	13550000	p	Fixed	UK11, UK2, UK6, EU1
gb		13450000	13550000	s	Radiolocation	UK11, UK2, UK6, EU1
gb		13450000	13550000	s	Mobile except aeronautical mobile (R)	UK11, UK2, UK6, EU1
gb		13550000	13570000	p	Fixed	5.150, UK11, UK2, UK6, EU1
gb		13550000	13570000	s	Mobile except aeronautical mobile (R)	5.150, UK11, UK2, UK6, EU1
gb		13570000	13600000	p	Broadcasting	5.134, 5.151, UK1, UK11, EU1
gb		13600000	13800000	p	Broadcasting	UK1, UK11, EU1
gb		13800000	13870000	p	Broadcasting	5.134, 5.151, UK1, UK11, EU1
gb		13870000	14000000	p	Fixed	UK11, UK2, EU1
gb		13870000	14000000	s	Mobile except aeronautical mobile (R)	UK11, UK2, EU1
gb		14000000	14250000	p	Amateur	UK1, UK11, UK12, UK7, EU1
gb		14000000	14250000	p	Amateur-Satellite	UK1, UK11, UK12, UK7, EU1
gb		14250000	14350000	p	Amateur	5.152, UK1, UK11, UK12, UK7, EU1
gb		14350000	14990000	p	Fixed	UK11, UK2, EU1
gb		14350000	14990000	s	Mobile except aeronautical mobile (R)	UK11, UK2, EU1
gb		14990000	15005000	p	Standard Frequency and Time Signal	5.111, UK1, UK11, UK12, UK9, EU1
gb		15005000	15010000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		15005000	15010000	s	Space Research	UK1, UK11, UK9, EU1
gb		15010000	15100000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		15100000	15600000	p	Broadcasting	UK1, UK11, EU1
gb		15600000	15800000	p	Broadcasting	5.134, 5.146, UK1, UK11, EU1
gb		15800000	16100000	p	Fixed	UK11, UK2, EU1
gb		16100000	16200000	p	Fixed	UK11, UK2, EU1
gb		16100000	16200000	s	Radiolocation	UK11, UK2, EU1
gb		16200000	16300000	p	Fixed	UK11, UK2, EU1
gb		16360000	17410000	p	Maritime Mobile	5.109, 5.110, 5.132, 5.145, UK11, UK12, UK185, UK2, EU1
gb		17410000	17480000	p	Fixed	UK11, UK2, EU1
gb		17480000	17550000	p	Broadcasting	5.134, 5.146, UK1, UK11, EU1
gb		17550000	17900000	p	Broadcasting	UK1, UK11, EU1
gb		17900000	17970000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.11, EU1
gb		17970000	18030000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		18030000	18052000	p	Fixed	UK11, UK2, EU1
gb		18052000	18068000	p	Fixed	UK11, UK2, EU1
gb		18052000	18068000	s	Space Research	UK11, UK2, EU1
gb		18068000	18168000	p	Amateur	5.120, UK1, UK11, UK12, UK7, EU1
gb		18068000	18168000	p	Amateur-Satellite	UK1, UK11, UK12, UK7, EU1
gb		18168000	18780000	p	Fixed	UK11, UK2, EU1
gb		18168000	18780000	s	Mobile except aeronautical mobile	UK11, UK2, EU1
gb		18780000	18900000	p	Maritime Mobile	UK11, UK185, UK2, EU1
gb		18900000	19020000	p	Broadcasting	5.134, 5.146, UK1, UK11, EU1
gb		19020000	19680000	p	Fixed	UK11, UK2, EU1
gb		19680000	19800000	p	Maritime Mobile	5.132, UK11, UK12, UK185, UK2, EU1
gb		19800000	19990000	p	Fixed	UK11, UK2, EU1
gb		19990000	19995000	p	Standard Frequency and Time Signal	5.111, UK1, UK11, UK12, UK9, EU1
gb		19990000	19995000	s	Space Research	5.111, UK1, UK11, UK12, UK9, EU1
gb		19995000	20010000	p	Standard Frequency and Time Signal	5.111, UK1, UK11, UK9, EU1
gb		20010000	21000000	p	Fixed	UK11, UK2, EU1
gb		20010000	21000000	s	Mobile	UK11, UK2, EU1
gb		21000000	21450000	p	Amateur	UK1, UK11, UK12, UK7, EU1
gb		21000000	21450000	p	Amateur-Satellite	UK1, UK11, UK12, UK7, EU1
gb		21450000	21850000	p	Broadcasting	UK1, UK11, EU1
gb		21850000	21870000	p	Fixed	UK11, UK2, EU1
gb		21870000	21924000	p	Fixed	5.155B, UK1, UK11, EU1
gb		21924000	22000000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.13, EU1
gb		22000000	22855000	p	Maritime Mobile	5.132, UK11, UK12, UK185, UK2, EU1
gb		22855000	23000000	p	Fixed	UK11, UK2, EU1
gb		23000000	23200000	p	Fixed	UK11, UK2, EU1
gb		23000000	23200000	s	Mobile except aeronautical mobile (R)	UK11, UK2, EU1
gb		23200000	23350000	p	Fixed	5.156A, UK11, UK2, EU1
gb		23200000	23350000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		23350000	24000000	p	Fixed	UK11, UK2, EU1
gb		23350000	24000000	p	Mobile except aeronautical mobile	5.157, UK11, UK2, EU1
gb		24000000	24450000	p	Fixed	UK11, UK2, EU1
gb		24000000	24450000	p	Land Mobile	UK11, UK2, EU1
gb		24450000	24600000	s	Radiolocation	UK11, UK2, EU1
gb		24450000	24600000	p	Fixed	UK11, UK2, EU1
gb		24450000	24600000	p	Land Mobile	UK11, UK2, EU1
gb		24600000	24890000	p	Fixed	UK11, UK2, EU1
gb		24600000	24890000	p	Land Mobile	UK11, UK2, EU1
gb		24890000	24990000	p	Amateur	UK1, UK11, UK12, UK7, EU1
